Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision
37-611-6911,"22.0,00",Female,Middle,Married,Bachelor's,Middle,Évry,Gardening & Outdoors,$333.80 ,4.0,Mixed,5.0,5.0,,None,Somewhat Sensitive,1.0,7.0,None,Tablet,CREDIT CARD,3/1/2024,True,False,Need-based,No Preference,2.0
29-392-9296,49.0,Male,High,Married,High School,High,Huocheng,Food & Beverages,$222.22 ,,In-Store,3.0,1.0,2.0,Medium,Not Sensitive,1.0,5.0,High,tablet, PayPal ,4/16/2024,True,False,Wants-based,Standard,6.0
84-649-5117,24.0,Female,Middle,Single, Master's ,High,Huzhen,Office Supplies,$426.22 ,2.0,Mixed,5.0,5.0,0.3,Low,Not Sensitive,,7.0, Low ,Smartphone, Debit Card ,3/15/2024,True,True,Impulsive,No Preference,
48-980-6078,29.0,Female,Middle,Single,MASTER'S,Middle,Wiwilí,Home Appliances,$101.31 ,6.0,Mixed,3.0,1.0,N/A,high,Somewhat Sensitive,"0.0,00",, None ,Smartphone,OTHER,10/4/2024,True,True,Need-Based,express,10.00
91-170-9072,33.0,Female,Middle,Widowed,High School,Middle,Nara,Furniture,$211.70 ,6.0,Mixed,3.0,4.0,,Medium,Not Sensitive,2.0,10.0,None,Smartphone,Debit Card,1/30/2024,False,False,Wants-based,No Preference,4.0
82-561-4233,45.0,Male,Middle,married,master's,High,Boro Utara,Office Supplies,$487.95 ,8.0,Mixed,,3.0,0.0,High, Not Sensitive ,2.0,3.0, None ,Tablet,Debit Card,3/19/2024,False,False,Planned,No Preference,7.0
90-144-9193,21.0,Female,Middle,Divorced,high school,Middle, Liren ,furniture,$486.40 ,12.0,Online,,5.0,1.0,high,Somewhat Sensitive,0.0,9.0, Low ,Desktop,Debit Card,3/15/2024,True,False,need-based,Express,13.0
88-661-4689,39.0,Male,Middle,Single,High School,Middle,Taocheng,Books,$218.06 ,6.0,Online,5.0,4.0,1.0,Low,Somewhat Sensitive,2.0,9.0,None,Desktop,CREDIT CARD,3/17/2024,False,True,Impulsive,No Preference,13.0
37-065-3182,24.0,Female,High,Divorced,MASTER'S,Middle,Gråbo,Office Supplies,$201.96 ,,In-Store,3.0,5.0,,Low,Very Sensitive,,2.0, High ,Desktop,Cash,6/10/2024,False,False,NEED-BASED,Standard,
84-894-9222,25.0,Bigender,High,Married,Bachelor's,High, Pryamitsyno ,SPORTS & OUTDOORS,$418.83 ,7.0,Online,2.0,,1.0,None,Somewhat Sensitive,1.0,5.0,Medium,Tablet,PayPal,10/7/2024,True,False,Need-based,no preference,13.0
44-674-4037,33.0,Male,middle,Divorced,Bachelor's,Middle,Punta Gorda,Mobile Accessories,$389.70 ,12.0,In-Store,$1.0,4.0,0.5,Low,Not Sensitive,,4.0,High,Desktop,PayPal,7/2/2024,True,False,Planned,express,12.0
78-116-8349,38.0,Female,High,Widowed,Bachelor's,Middle,Győr,Sports & Outdoors,$238.93 ,null,Online,4.0,N/A,1.0,Medium,Very Sensitive,0.0,10.0,High,TABLET,cash,12/27/2024,True,False,Planned,NO PREFERENCE,1.0
19-933-8095,,Male,Middle,SINGLE,Bachelor's, High ,Gaosheng,Luxury Goods,$61.22 ,,In-Store,5.0,2.0,2.0,Low,VERY SENSITIVE,1.0,7.0,High,Desktop, Debit Card ,8/5/2024,True,True,Need-based,No Preference,
80-684-5072,32.0,Male,High,Married,HIGH SCHOOL,Middle,Rokytne,Animal Feed,$79.81 ,4.0,Mixed,5.0,,0.0,High,Not Sensitive,0.0,9.0, High ,Smartphone,Debit Card,7/16/2024,False,True,Wants-Based, Standard ,14.0
